127.0.0.1 - - [12/Feb/2013:22:28:16 +0100] "GET / HTTP/1.1" 404 965
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:28:18 +0100] "GET /AWOS/ HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:15 +0100] "GET /AWOS/ HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:15 +0100] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:17 +0100] "GET /AWOS/Back-Office HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:17 +0100] "GET /AWOS/Back-Office/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:17 +0100] "GET /AWOS/Back-Office/login.jsp HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:17 +0100] "GET /AWOS/Back-Office/assets/jquery.cookie.js HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:17 +0100] "GET /AWOS/Back-Office/assets/jquery.min.js HTTP/1.1" 200 94840
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:17 +0100] "GET /AWOS/Back-Office/assets/jquery.easing.1.3.js HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:17 +0100] "GET /AWOS/Back-Office/assets/jquery.hoverIntent.min.js HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:17 +0100] "GET /AWOS/Back-Office/assets/utopia.js HTTP/1.1" 200 50089
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:17 +0100] "GET /AWOS/Back-Office/assets/tables.js HTTP/1.1" 200 4507
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:17 +0100] "GET /AWOS/Back-Office/assets/jquery.vticker-min.js HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:17 +0100] "GET /AWOS/Back-Office/assets/jquery.sparkline.js HTTP/1.1" 200 121046
0:0:0:0:0:0:0:1 - - [12/Feb/2013:22:32:17 +0100] "GET /AWOS/Back-Office/assets/datepicker.js HTTP/1.1" 200 76531
